Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
7.9000          -7.0389      -7.2582       0.2193  1696.6
7.9500          -6.9791      -7.2156       0.2365  1829.5
8.0000          -7.1175      -7.2717       0.1541  1192.5
8.0500          -7.0571      -7.2539       0.1968  1522.3
8.1000          -7.0250      -7.2413       0.2163  1673.1
8.1500          -7.0247      -7.2637       0.2390  1849.2
8.2000          -7.0006      -7.2054       0.2048  1584.3
8.2500          -7.1110      -7.2520       0.1410  1091.1
8.3000          -7.0886      -7.2400       0.1515  1171.7
8.3500          -7.1326      -7.3121       0.1795  1389.0
8.4000          -6.9850      -7.2312       0.2462  1905.0
8.4500          -7.0419      -7.2026       0.1606  1242.8
8.5000          -7.0705      -7.2518       0.1813  1402.4
8.5500          -7.0917      -7.2351       0.1434  1109.5
8.6000          -6.8891      -7.1909       0.3017  2334.1
8.6500          -6.9441      -7.1383       0.1942  1502.0
8.7000          -7.0653      -7.2318       0.1665  1287.7
8.7500          -7.1808      -7.3079       0.1271   983.1
8.8000          -7.0418      -7.2177       0.1759  1360.7
8.8500          -7.1212      -7.2961       0.1750  1353.6
8.9000          -6.9830      -7.2172       0.2342  1811.9
8.9500          -6.9779      -7.2104       0.2325  1799.1
9.0000          -7.0279      -7.2207       0.1928  1491.6
9.0500          -7.0205      -7.2498       0.2292  1773.3
9.1000          -7.0869      -7.2477       0.1608  1244.4
9.1500          -7.0818      -7.2542       0.1724  1333.6
9.2000          -7.0064      -7.2286       0.2222  1718.9
9.2500          -7.0098      -7.2637       0.2540  1965.0
9.3000          -7.0473      -7.2367       0.1894  1465.0
9.3500          -7.0163      -7.2011       0.1848  1429.6
9.4000          -6.9757      -7.2237       0.2480  1918.9
9.4500          -7.0862      -7.2892       0.2030  1570.8
9.5000          -7.1197      -7.2259       0.1062   821.6
9.5500          -7.1422      -7.2959       0.1537  1189.4
9.6000          -7.1401      -7.2819       0.1418  1096.7
9.6500          -6.9798      -7.1596       0.1798  1390.8
9.7000          -6.9410      -7.1526       0.2116  1636.7
9.7500          -7.0626      -7.1951       0.1326  1025.6
9.8000          -7.1057      -7.2715       0.1658  1282.8
9.8500          -7.1303      -7.2495       0.1192   922.2
9.9000          -7.1436      -7.2431       0.0995   770.0
9.9500          -7.0558      -7.2978       0.2420  1871.9
10.0000         -7.1528      -7.2722       0.1194   923.5
